sigma,overall_avg_uncertainty_fraction
1,0.0036991368680641184
4,0.011059371362048894
20,0.022672455378678243
40,0.02599388379204893
60,0.02142857142857143
100,0.023184601924759404
140,0.020595968448729185
190,0.020595968448729185
240,0.019390581717451522
