sigma,overall_avg_uncertainty_fraction
1,0.0016597510373443983
4,0.008561643835616438
20,0.0234009360374415
40,0.025676937441643323
60,0.03115423901940756
100,0.031960996749729145
140,0.02875746066196419
190,0.029916897506925208
240,0.02493887530562347
