dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,0.1,1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,33.0,33,True,17.04,100,False,0.01,0.99,0.0,100,0.0029032258064516,0.0053333333333333,,,,,,,0.6875,0.0,0.4545454545454545,0.0,0.0,results/T-sweep-Dyck-3/distributions/not_nested_parentheses_and_brackets_L32_T1_ebsampler_greedy_gamma0.1.json
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,2.0,1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,16.0,16,True,6.15,100,False,0.01,0.99,0.0,100,0.0032258064516129,0.0053333333333333,,,,,,,0.75,0.0,0.2307692307692307,2.7755575615628914e-17,0.0,results/T-sweep-Dyck-3/distributions/not_nested_parentheses_and_brackets_L32_T1_ebsampler_greedy_gamma2.0.json
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,0.5,1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,32.0,32,True,16.23,100,False,0.01,0.99,0.0,100,0.0029032258064516,0.0053333333333333,,,,,,,0.6875,0.0,0.4545454545454545,0.0,0.0,results/T-sweep-Dyck-3/distributions/not_nested_parentheses_and_brackets_L32_T1_ebsampler_greedy_gamma0.5.json
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,5.0,1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,8.0,8,True,4.16,100,False,0.01,0.99,0.0,100,0.0032258064516129,0.006,,,,,,,0.8125,0.0,0.2307692307692307,2.7755575615628914e-17,0.0,results/T-sweep-Dyck-3/distributions/not_nested_parentheses_and_brackets_L32_T1_ebsampler_greedy_gamma5.0.json
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,10.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,4,True,5.07,0,True,,,,0,,,,,,,,,,,,,0.0,results/T-sweep-Dyck-3/distributions/not_nested_parentheses_and_brackets_L32_T1_ebsampler_greedy_gamma10.0.json
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,0.9,1,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,31.0,31,True,15.71,100,False,0.01,0.99,0.0,100,0.0029032258064516,0.0053333333333333,,,,,,,0.6875,0.0,0.4545454545454545,0.0,0.0,results/T-sweep-Dyck-3/distributions/not_nested_parentheses_and_brackets_L32_T1_ebsampler_greedy_gamma0.9.json
