dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_both_rules_acc,std_both_rules_acc,deterministic,elapsed_s
unconditional,baN,32,uniform,greedy,,,128,1,0.89,0.0,False,53.73
unconditional,baN,32,gaussian,greedy,0.5,,128,1,0.91,0.0,False,108.2
unconditional,baN,32,ar,greedy,,,128,1,1.0,0.0,True,23.7
unconditional,baN,32,ebsampler,greedy,,0.1,128,1,1.0,0.0,True,20.95
unconditional,baN,32,ebsampler,greedy,,0.1,128,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,32.0,32,True,21.34
unconditional,baN,32,ebsampler,greedy,,0.9,128,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,16,True,10.85
