dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_eval_total,ci_low_both_rules,ci_high_both_rules,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,baN,128,gaussian,greedy,10.0,,1,5,0.06,0.029665,1.0,0.0,0.06,0.029665,0.984,0.013565,500,0.042348,0.084362,1.062,2,False,43.0,30,False,0.3,0.7,0.006950431034482759,30,0.0007874015748031496,0.0010582010582010583,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T1_gaussian_greedy_sigma10.0.json
unconditional,baN,128,gaussian,greedy,2.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.988,0.007483,500,-0.0,0.007625,1.0,1,False,60.31,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T1_gaussian_greedy_sigma2.0.json
unconditional,baN,128,uniform,greedy,,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,1.0,1,False,61.51,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T1_uniform_greedy_none.json
unconditional,baN,128,uniform,greedy,,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,2.0,2,False,61.8,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T2_uniform_greedy_none.json
unconditional,baN,128,gaussian,greedy,5.0,,1,5,0.016,0.013565,1.0,0.0,0.016,0.013565,0.988,0.011662,500,0.008129,0.031251,1.016,2,False,60.94,8,False,0.75,0.25,0.007254464285714286,8,0.002952755905511811,0.003968253968253968,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T1_gaussian_greedy_sigma5.0.json
unconditional,baN,128,uniform,categorical,,,1,5,0.492,0.039699,1.0,0.0,0.256,0.02245,0.51,0.034059,500,0.219707,0.296014,1.0,1,False,62.11,128,False,1.0,0.0,0.15888127620411086,128,0.00024934546814611643,0.0005027020233756441,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T1_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,20.0,,1,5,0.154,0.012,1.0,0.0,0.154,0.012,0.984,0.010198,500,0.12501,0.188266,1.158,2,False,62.31,77,False,0.2727272727272727,0.7272727272727273,0.007297184723171565,77,0.00030677983433888945,0.00041228612657184083,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T1_gaussian_greedy_sigma20.0.json
unconditional,baN,128,gaussian,greedy,50.0,,1,5,0.324,0.040792,1.0,0.0,0.324,0.040792,0.99,0.008944,500,0.284455,0.366229,1.37,2,False,62.41,162,False,0.24691358024691357,0.7530864197530864,0.007571073920711602,162,0.00014581510644502772,0.0001959631589261219,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T1_gaussian_greedy_sigma50.0.json
unconditional,baN,128,uniform,greedy,,,4,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,4.0,4,False,65.94,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T4_uniform_greedy_none.json
unconditional,baN,128,gaussian,greedy,1.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,1.0,1,False,65.69,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T1_gaussian_greedy_sigma1.0.json
unconditional,baN,128,uniform,categorical,,,2,5,0.518,0.039699,0.858,0.023152,0.306,0.035553,0.606,0.036661,500,0.267213,0.347746,1.7,2,False,66.93,153,False,1.0,0.0,0.15862467866323907,153,0.00020728610664870188,0.0004178854993731718,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T2_uniform_categorical_none.json
unconditional,baN,128,uniform,categorical,,,4,5,0.464,0.044989,0.878,0.022271,0.354,0.051225,0.762,0.034871,500,0.313342,0.396885,3.534,4,False,70.12,177,False,1.0,0.0,0.15834075658599056,177,0.00017916330735465378,0.0003611901214501783,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T4_uniform_categorical_none.json
unconditional,baN,128,uniform,greedy,,,8,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,8.0,8,False,72.14,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T8_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,8,5,0.474,0.034409,0.926,0.008,0.416,0.02245,0.858,0.019391,500,0.373597,0.459684,7.362,8,False,82.52,208,False,1.0,0.0,0.15956786332576015,200,0.00015255530129672007,0.00030755036137167463,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T8_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,100.0,,1,5,0.386,0.070597,1.0,0.0,0.386,0.070597,0.99,0.008944,500,0.344351,0.429388,1.562,2,False,65.03,193,False,0.3626943005181347,0.6373056994818653,0.00766744926597582,193,0.00012239402717147404,0.00016448721111933547,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T1_gaussian_greedy_sigma100.0.json
unconditional,baN,128,uniform,greedy,,,16,5,0.002,0.004,1.0,0.0,0.002,0.004,1.0,0.0,500,0.000353,0.011241,16.0,16,False,110.17,1,True,1.0,0.0,,1,0.023622047244094488,0.031746031746031744,0.75,0.5,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T16_uniform_greedy_none.json
unconditional,baN,128,uniform,greedy,,,32,5,0.068,0.021354,1.0,0.0,0.068,0.021354,1.0,0.0,500,0.049066,0.093521,31.984,32,False,111.23,34,False,0.8823529411764706,0.11764705882352944,0.007742869875222816,34,0.0009263547938860583,0.0011671335200746965,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T32_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,16,5,0.486,0.038781,0.97,0.010954,0.464,0.04128,0.938,0.036,500,0.420727,0.507822,15.47,16,False,111.98,232,False,1.0,0.0,0.15887977336473658,200,0.00013680358425390745,0.00027579549763850106,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T16_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,50.0,,2,5,0.282,0.039699,1.0,0.0,0.282,0.039699,0.992,0.009798,500,0.244336,0.322989,2.326,3,False,49.92,141,False,0.3049645390070922,0.6950354609929078,0.0075845364741641335,141,0.00016753224995811694,0.00022514916131937407,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T2_gaussian_greedy_sigma50.0.json
unconditional,baN,128,gaussian,greedy,256.0,,2,5,0.346,0.05678,1.0,0.0,0.346,0.05678,0.994,0.008,500,0.305621,0.388728,2.82,3,False,49.97,173,False,0.5317919075144508,0.4682080924855492,0.00774633687323565,173,0.00013654362568840745,0.00018350307367648408,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T2_gaussian_greedy_sigma256.0.json
unconditional,baN,128,gaussian,greedy,1.0,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,2.0,2,False,60.72,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T2_gaussian_greedy_sigma1.0.json
unconditional,baN,128,gaussian,greedy,256.0,,1,5,0.328,0.042615,0.998,0.004,0.328,0.042615,0.996,0.004899,500,0.288295,0.370327,1.832,2,False,62.71,164,False,0.5304878048780488,0.4695121951219512,0.007735929784527907,164,0.00014403687343960054,0.00024196670538133953,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T1_gaussian_greedy_sigma256.0.json
unconditional,baN,128,gaussian,greedy,20.0,,2,5,0.128,0.03763,1.0,0.0,0.128,0.03763,0.992,0.007483,500,0.101526,0.160146,2.134,3,False,63.08,64,False,0.3125,0.6875,0.00724671378968254,64,0.00036909448818897637,0.000496031746031746,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-5/distributions/baN_L128_T2_gaussian_greedy_sigma20.0.json
