sigma,overall_avg_uncertainty_fraction
1,0.0028999516674722086
4,0.008627450980392156
20,0.016862745098039214
40,0.0176678445229682
60,0.024351924587588374
100,0.022449783379283182
140,0.02349869451697128
190,0.019762845849802372
240,0.020174050632911392
