dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_eval_total,ci_low_both_rules,ci_high_both_rules,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,2.0,2,False,303.06,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,8,5,0.212,0.050754,1.0,0.0,0.212,0.050754,0.366,0.031369,500,0.178439,0.249953,5.842,8,False,636.86,106,False,1.0,0.0,0.2695839718485726,106,0.0043076923076923075,0.015267175572519083,,,,,,,0.35363881401617253,0.0943201537263452,1.0638126024918477,0.6044511989538256,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T8_uniform_categorical_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,0.996,0.004899,500,-0.0,0.007625,2.0,2,False,306.55,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma2.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,2,5,0.002,0.004,1.0,0.0,0.002,0.004,0.926,0.014967,500,0.000353,0.011241,2.0,2,False,332.79,1,True,1.0,0.0,,1,0.12903225806451613,0.26666666666666666,,,,,,,0.5625,,0.0,,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma10.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,2,5,0.012,0.007483,1.0,0.0,0.012,0.007483,0.852,0.022271,500,0.005511,0.025931,2.002,3,False,391.87,6,False,1.0,0.0,0.13229166666666667,6,0.021505376344086023,0.044444444444444446,,,,,,,0.5208333333333334,0.09991315673568166,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma20.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,2,5,0.002,0.004,1.0,0.0,0.002,0.004,0.974,0.018547,500,0.000353,0.011241,2.002,3,False,484.03,1,True,1.0,0.0,,1,0.12903225806451613,0.2,,,,,,,0.9375,,0.0,,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma5.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,2,5,0.046,0.013565,1.0,0.0,0.046,0.013565,0.688,0.049558,500,0.030845,0.068078,2.02,3,False,447.78,23,False,1.0,0.0,0.12957015810276679,23,0.005610098176718092,0.011594202898550725,,,,,,,0.5652173913043478,0.1468397400663728,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma50.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,256.0,,2,5,0.046,0.020591,1.0,0.0,0.046,0.020591,0.518,0.049153,500,0.030845,0.068078,2.032,3,False,466.82,23,False,1.0,0.0,0.12018280632411067,23,0.005610098176718092,0.011594202898550725,,,,,,,0.5842391304347826,0.1230951266620231,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma256.0.json
unconditional,parentheses_and_brackets,32,uniform,greedy,,,8,5,0.282,0.044452,1.0,0.0,0.282,0.044452,0.87,0.031623,500,0.244336,0.322989,7.832,8,False,899.65,141,False,1.0,0.0,0.1396403242147923,141,0.0009151223976206818,0.0018912529550827422,,,,,,,0.4228723404255319,0.1062221745667999,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T8_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,100.0,,2,5,0.036,0.013565,1.0,0.0,0.036,0.013565,0.576,0.051225,500,0.022891,0.056185,2.032,3,False,481.73,18,False,1.0,0.0,0.12928921568627452,18,0.007168458781362007,0.014814814814814815,,,,,,,0.5590277777777778,0.11500343862277218,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma100.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,100.0,,4,5,0.242,0.017205,1.0,0.0,0.242,0.017205,0.416,0.042237,500,0.206517,0.281417,3.644,5,False,394.98,121,False,1.0,0.0,0.141432076446281,121,0.0010663822980538523,0.0022038567493112946,,,,,,,0.4772727272727273,0.1280616780634619,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma100.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,4,5,0.196,0.032,1.0,0.0,0.196,0.032,0.332,0.050754,500,0.163578,0.233058,3.336,5,False,535.53,98,False,1.0,0.0,0.14217007679360405,98,0.0013166556945358788,0.0027210884353741495,,,,,,,0.47831632653061223,0.1363185679881591,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma20.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,4,5,0.03,0.02,1.0,0.0,0.03,0.02,0.15,0.025298,500,0.018263,0.048904,2.306,4,False,691.61,15,False,0.4666666666666667,0.5333333333333333,0.040773809523809525,15,0.008602150537634409,0.017777777777777778,,,,,,,0.4875,0.0338501600193165,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,4,5,0.032,0.007483,1.0,0.0,0.032,0.007483,0.066,0.004899,500,0.019791,0.051345,2.144,4,False,699.33,16,False,0.9375,0.0625,0.08450520833333333,16,0.008064516129032258,0.016666666666666666,,,,,,,0.484375,0.05182226234930312,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma2.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,4,5,0.108,0.027857,1.0,0.0,0.108,0.027857,0.182,0.041183,500,0.083722,0.138255,2.51,5,False,723.98,54,False,1.0,0.0,0.1333420684835779,54,0.0023894862604540022,0.0049382716049382715,,,,,,,0.4351851851851852,0.09314073860523477,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma5.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,4,5,0.178,0.027857,1.0,0.0,0.178,0.027857,0.338,0.060465,500,0.146964,0.213946,3.102,5,False,771.43,89,False,1.0,0.0,0.14400456460674158,89,0.0014498006524102935,0.00299625468164794,,,,,,,0.449438202247191,0.1280787990469438,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma10.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,4,5,0.236,0.038262,1.0,0.0,0.236,0.038262,0.39,0.053666,500,0.200881,0.275145,3.53,5,False,717.35,118,False,1.0,0.0,0.14108901926698536,118,0.0010934937124111536,0.0022598870056497176,,,,,,,0.4809322033898305,0.11607675564138507,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma50.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,256.0,,4,5,0.262,0.044452,1.0,0.0,0.262,0.044452,0.458,0.039699,500,0.225376,0.302254,3.76,5,False,669.52,131,False,1.0,0.0,0.13995155607751028,131,0.0009849790691947797,0.002035623409669211,,,,,,,0.46803435114503816,0.11872775309231612,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T4_gaussian_greedy_sigma256.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,16,5,0.502,0.061123,1.0,0.0,0.502,0.061123,0.572,0.044,500,0.458326,0.545644,13.194,16,False,1424.98,251,False,1.0,0.0,0.2703780484521568,200,0.0018151173343705432,0.006432591798445457,,,,,,,0.36130003794346427,0.09489801213737883,1.1285029269093014,0.6623747270047451,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T16_uniform_categorical_none.json
