dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,parentheses_and_brackets,32,gaussian,greedy,100.0,,1,5,0.196,0.02245,1.0,0.0,0.196,0.02245,0.852,0.030594,1.216,2,False,129.2,98,False,0.16326530612244897,0.8367346938775511,0.02931701030927835,98,0.0013166556945358788,0.002380952380952381,,,,,,,0.9406887755102041,0.013752460875540705,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma100.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,5.0,,2,5,0.002,0.004,1.0,0.0,0.002,0.004,0.974,0.018547,2.002,3,False,153.37,1,True,1.0,0.0,,1,0.12903225806451613,0.2,,,,,,,0.9375,,0.0,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma5.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,2,5,0.002,0.004,1.0,0.0,0.002,0.004,0.926,0.014967,2.0,2,False,160.78,1,True,1.0,0.0,,1,0.12903225806451613,0.26666666666666666,,,,,,,0.5625,,0.0,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma10.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,1,5,0.096,0.024166,1.0,0.0,0.096,0.024166,0.972,0.011662,1.104,2,False,181.93,48,False,0.3125,0.6875,0.02917220744680851,48,0.002688172043010753,0.004166666666666667,,,,,,,0.9388020833333334,0.008926633594272194,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma20.0.json
unconditional,parentheses_and_brackets,32,uniform,greedy,,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,False,189.18,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,False,200.04,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.762,0.029933,1.0,1,False,201.64,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_uniform_categorical_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2,False,201.44,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T2_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,1,5,0.038,0.017205,1.0,0.0,0.038,0.017205,0.978,0.004,1.04,2,False,204.15,19,False,0.42105263157894735,0.5789473684210527,0.027777777777777776,19,0.006791171477079796,0.010526315789473684,,,,,,,0.9375,0.0,0.0,0.0,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma10.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.998,0.004,1.0,1,False,204.89,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-3/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma2.0.json
