dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,baN,128,uniform,greedy,,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,2.76,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,4,4,0.475,0.043301,0.9,0.1,0.425,0.082916,0.8,0.122474,3.6,4,False,3.07,15,False,1.0,0.0,0.15612618673843165,15,0.002109704641350211,0.004253056884635832,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_uniform_categorical_none.json
unconditional,baN,128,uniform,greedy,,,8,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,8,False,3.4,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,8,4,0.45,0.05,0.9,0.070711,0.425,0.082916,0.875,0.082916,7.35,8,False,3.46,17,False,1.0,0.0,0.15965461288827074,17,0.001869158878504673,0.0037682524729156855,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_uniform_categorical_none.json
unconditional,baN,128,uniform,greedy,,,16,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,16,False,4.62,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T16_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,16,4,0.55,0.05,0.975,0.043301,0.525,0.082916,0.975,0.043301,15.8,16,False,4.61,21,False,1.0,0.0,0.15785232383808095,21,0.001511144692104269,0.0030464584920030465,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T16_uniform_categorical_none.json
unconditional,baN,128,uniform,greedy,,,32,4,0.05,0.05,1.0,0.0,0.05,0.05,1.0,0.0,31.975,32,False,7.43,2,True,,,,2,,,0.75,0.5,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T32_uniform_greedy_none.json
unconditional,baN,128,uniform,greedy,,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,11.63,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,4,4,0.475,0.043301,0.9,0.1,0.425,0.082916,0.8,0.122474,3.6,4,False,11.34,15,False,1.0,0.0,0.15612618673843165,15,0.002109704641350211,0.004253056884635832,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_uniform_categorical_none.json
unconditional,baN,128,uniform,greedy,,,8,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,8,False,13.11,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,8,4,0.45,0.05,0.9,0.070711,0.425,0.082916,0.875,0.082916,7.35,8,False,13.3,17,False,1.0,0.0,0.15965461288827074,17,0.001869158878504673,0.0037682524729156855,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_uniform_categorical_none.json
unconditional,baN,128,uniform,greedy,,,16,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,16,False,18.08,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T16_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,16,4,0.55,0.05,0.975,0.043301,0.525,0.082916,0.975,0.043301,15.8,16,False,18.41,21,False,1.0,0.0,0.15785232383808095,21,0.001511144692104269,0.0030464584920030465,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T16_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,50.0,,4,4,0.4,0.070711,1.0,0.0,0.4,0.070711,1.0,0.0,4.475,5,False,19.68,16,False,0.75,0.25,0.007486979166666667,16,0.0014763779527559055,0.001984126984126984,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma50.0.json
unconditional,baN,128,gaussian,greedy,20.0,,4,4,0.225,0.082916,1.0,0.0,0.225,0.082916,1.0,0.0,4.225,5,False,25.96,9,False,0.5555555555555556,0.4444444444444444,0.006293402777777778,9,0.0026246719160104987,0.003527336860670194,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma20.0.json
unconditional,baN,128,gaussian,greedy,10.0,,4,4,0.05,0.05,1.0,0.0,0.05,0.05,1.0,0.0,4.075,5,False,26.14,2,True,,,,2,,,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma10.0.json
unconditional,baN,128,uniform,greedy,,,32,4,0.05,0.05,1.0,0.0,0.05,0.05,1.0,0.0,31.975,32,False,26.54,2,True,,,,2,,,0.75,0.5,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T32_uniform_greedy_none.json
unconditional,baN,128,gaussian,greedy,2.0,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,27.25,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma2.0.json
unconditional,baN,128,gaussian,greedy,5.0,,4,4,0.1,0.122474,1.0,0.0,0.1,0.122474,1.0,0.0,4.025,5,False,27.97,4,True,,,,4,,,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma5.0.json
unconditional,baN,128,uniform,categorical,,,32,4,0.6,0.158114,0.975,0.043301,0.575,0.147902,0.925,0.043301,30.925,32,False,28.47,21,False,1.0,0.0,0.15629238884702337,21,0.0015191796429927839,0.0030627871362940277,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T32_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,1.0,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,31.42,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma1.0.json
unconditional,baN,128,gaussian,greedy,50.0,,8,4,0.5,0.070711,1.0,0.0,0.5,0.070711,1.0,0.0,8.425,9,False,33.36,20,False,0.8,0.19999999999999996,0.007648026315789474,20,0.0011811023622047244,0.0015873015873015873,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_gaussian_greedy_sigma50.0.json
unconditional,baN,128,uniform,greedy,,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,10.72,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,4,4,0.475,0.043301,0.9,0.1,0.425,0.082916,0.8,0.122474,3.6,4,False,10.68,15,False,1.0,0.0,0.15612618673843165,15,0.002109704641350211,0.004253056884635832,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_uniform_categorical_none.json
unconditional,baN,128,uniform,categorical,,,8,4,0.45,0.05,0.9,0.070711,0.425,0.082916,0.875,0.082916,7.35,8,False,12.71,17,False,1.0,0.0,0.15965461288827074,17,0.001869158878504673,0.0037682524729156855,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_uniform_categorical_none.json
unconditional,baN,128,uniform,greedy,,,8,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,8,False,12.88,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_uniform_greedy_none.json
unconditional,baN,128,uniform,greedy,,,16,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,16,False,16.82,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T16_uniform_greedy_none.json
unconditional,baN,128,gaussian,greedy,50.0,,4,4,0.4,0.070711,1.0,0.0,0.4,0.070711,1.0,0.0,4.475,5,False,17.33,16,False,0.75,0.25,0.007486979166666667,16,0.0014763779527559055,0.001984126984126984,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma50.0.json
unconditional,baN,128,uniform,categorical,,,16,4,0.55,0.05,0.975,0.043301,0.525,0.082916,0.975,0.043301,15.8,16,False,17.76,21,False,1.0,0.0,0.15785232383808095,21,0.001511144692104269,0.0030464584920030465,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T16_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,20.0,,4,4,0.225,0.082916,1.0,0.0,0.225,0.082916,1.0,0.0,4.225,5,False,21.48,9,False,0.5555555555555556,0.4444444444444444,0.006293402777777778,9,0.0026246719160104987,0.003527336860670194,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma20.0.json
unconditional,baN,128,uniform,greedy,,,32,4,0.05,0.05,1.0,0.0,0.05,0.05,1.0,0.0,31.975,32,False,26.87,2,True,,,,2,,,0.75,0.5,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T32_uniform_greedy_none.json
unconditional,baN,128,gaussian,greedy,5.0,,4,4,0.1,0.122474,1.0,0.0,0.1,0.122474,1.0,0.0,4.025,5,False,26.75,4,True,,,,4,,,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma5.0.json
unconditional,baN,128,gaussian,greedy,50.0,,8,4,0.5,0.070711,1.0,0.0,0.5,0.070711,1.0,0.0,8.425,9,False,27.31,20,False,0.8,0.19999999999999996,0.007648026315789474,20,0.0011811023622047244,0.0015873015873015873,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_gaussian_greedy_sigma50.0.json
unconditional,baN,128,gaussian,greedy,10.0,,4,4,0.05,0.05,1.0,0.0,0.05,0.05,1.0,0.0,4.075,5,False,27.65,2,True,,,,2,,,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma10.0.json
unconditional,baN,128,uniform,categorical,,,32,4,0.6,0.158114,0.975,0.043301,0.575,0.147902,0.925,0.043301,30.925,32,False,28.03,21,False,1.0,0.0,0.15629238884702337,21,0.0015191796429927839,0.0030627871362940277,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T32_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,1.0,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,28.25,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma1.0.json
unconditional,baN,128,gaussian,greedy,2.0,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,31.12,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T4_gaussian_greedy_sigma2.0.json
unconditional,baN,128,gaussian,greedy,20.0,,8,4,0.4,0.158114,1.0,0.0,0.4,0.158114,0.975,0.043301,8.2,9,False,38.13,16,False,0.75,0.25,0.007486979166666667,16,0.0014763779527559055,0.001984126984126984,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_gaussian_greedy_sigma20.0.json
unconditional,baN,128,uniform,categorical,,,64,4,0.575,0.082916,1.0,0.0,0.575,0.082916,0.975,0.043301,63.8,64,False,47.54,23,False,1.0,0.0,0.1556934533043748,23,0.0013759889920880633,0.0027739251040221915,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T64_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,2.0,,8,4,0.2,0.070711,1.0,0.0,0.2,0.070711,1.0,0.0,8.0,8,False,47.46,8,False,0.375,0.625,0.004743303571428571,8,0.002952755905511811,0.003968253968253968,0.75,0.5,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_gaussian_greedy_sigma2.0.json
unconditional,baN,128,gaussian,greedy,10.0,,8,4,0.15,0.111803,1.0,0.0,0.15,0.111803,0.975,0.043301,8.125,9,False,47.67,6,False,0.6666666666666666,0.33333333333333337,0.00625,6,0.003937007874015748,0.005291005291005291,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_gaussian_greedy_sigma10.0.json
unconditional,baN,128,gaussian,greedy,1.0,,8,4,0.575,0.043301,1.0,0.0,0.575,0.043301,1.0,0.0,8.0,8,False,47.83,23,False,0.13043478260869565,0.8695652173913043,0.003767292490118577,23,0.0010270455323519343,0.0013802622498274672,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-2/distributions/baN_L128_T8_gaussian_greedy_sigma1.0.json
