dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_eval_total,ci_low_both_rules,ci_high_both_rules,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,baN,128,uniform,greedy,,,8,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,8.0,8,False,54.79,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T8_uniform_greedy_none.json
unconditional,baN,128,gaussian,greedy,256.0,,2,5,0.346,0.05678,1.0,0.0,0.346,0.05678,0.994,0.008,500,0.305621,0.388728,2.82,3,False,22.87,173,False,0.5317919075144508,0.4682080924855492,0.00774633687323565,173,0.00013654362568840745,0.00018350307367648408,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T2_gaussian_greedy_sigma256.0.json
unconditional,baN,128,uniform,categorical,,,16,5,0.486,0.038781,0.97,0.010954,0.464,0.04128,0.938,0.036,500,0.420727,0.507822,15.47,16,False,55.51,232,False,1.0,0.0,0.15887977336473658,200,0.00013680358425390745,0.00027579549763850106,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T16_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,1.0,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,2.0,2,False,30.11,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T2_gaussian_greedy_sigma1.0.json
unconditional,baN,128,gaussian,greedy,100.0,,2,5,0.386,0.036111,1.0,0.0,0.386,0.036111,0.99,0.012649,500,0.344351,0.429388,2.568,3,False,30.99,193,False,0.37305699481865284,0.6269430051813472,0.007702025313039724,193,0.00012239402717147404,0.00016448721111933547,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T2_gaussian_greedy_sigma100.0.json
unconditional,baN,128,gaussian,greedy,2.0,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,0.994,0.004899,500,-0.0,0.007625,2.0,2,False,40.21,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T2_gaussian_greedy_sigma2.0.json
unconditional,baN,128,gaussian,greedy,50.0,,2,5,0.282,0.039699,1.0,0.0,0.282,0.039699,0.992,0.009798,500,0.244336,0.322989,2.326,3,False,38.68,141,False,0.3049645390070922,0.6950354609929078,0.0075845364741641335,141,0.00016753224995811694,0.00022514916131937407,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T2_gaussian_greedy_sigma50.0.json
unconditional,baN,128,gaussian,greedy,20.0,,2,5,0.128,0.03763,1.0,0.0,0.128,0.03763,0.992,0.007483,500,0.101526,0.160146,2.134,3,False,40.16,64,False,0.3125,0.6875,0.00724671378968254,64,0.00036909448818897637,0.000496031746031746,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T2_gaussian_greedy_sigma20.0.json
unconditional,baN,128,gaussian,greedy,10.0,,2,5,0.066,0.023324,1.0,0.0,0.066,0.023324,0.992,0.007483,500,0.047378,0.09124,2.068,3,False,44.47,33,False,0.2727272727272727,0.7272727272727273,0.006909919507575758,33,0.0007158196134574087,0.000962000962000962,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T2_gaussian_greedy_sigma10.0.json
unconditional,baN,128,gaussian,greedy,5.0,,2,5,0.024,0.012,1.0,0.0,0.024,0.012,0.992,0.007483,500,0.013781,0.041477,2.024,3,False,48.48,12,False,0.5,0.5,0.006747159090909091,12,0.001968503937007874,0.0026455026455026454,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T2_gaussian_greedy_sigma5.0.json
