sigma,overall_avg_uncertainty_fraction
1,0.9882260596546311
4,0.9874509803921568
20,0.9870588235294118
40,0.9894117647058823
60,0.9886095836606441
100,0.9885961462839167
140,0.9901497241922774
190,0.9909198578760363
240,0.9932806324110672
