sigma,overall_avg_uncertainty_fraction
1,0.9941084053417125
4,0.9909697683549273
20,0.9901922322479404
40,0.9909733124018838
60,0.9925373134328358
100,0.9901729559748428
140,0.9909448818897638
190,0.9909270216962525
240,0.9909126827340972
