sigma,overall_avg_uncertainty_fraction
1,0.9940991345397325
4,0.9897919120533961
20,0.989010989010989
40,0.9909520062942565
60,0.9913488006291782
100,0.99251968503937
140,0.991722506897911
190,0.9928938018160284
240,0.9932779754843811
